longitude,latitude,annotation,,,,,,,,,,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.280238,46.586369,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.28021,46.586394,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280192,46.586393,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280172,46.586388,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280123,46.586372,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.28011,46.586357,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280095,46.586345,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280089,46.586346,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280084,46.586348,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.28008,46.586348,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280078,46.586349,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280077,46.58635,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280077,46.586351,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.28007,46.586352,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280068,46.586357,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280054,46.586362,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.28004,46.586367,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280026,46.586372,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.280012,46.586377,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279998,46.586382,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279984,46.586387,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279969,46.586392,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279955,46.586397,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279941,46.586402,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279909,46.586422,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279872,46.586441,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279843,46.586459,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279812,46.58648,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279778,46.586497,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279716,46.586523,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279665,46.586539,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279647,46.586543,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279607,46.586552,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279564,46.58655,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279471,46.586558,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279427,46.586567,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279367,46.586594,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279348,46.586605,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279328,46.586616,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279305,46.586642,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279301,46.58665,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279266,46.586678,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279251,46.586689,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279227,46.586715,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279178,46.586742,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279157,46.586752,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279104,46.586773,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279009,46.586836,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278958,46.586871,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278916,46.586902,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278879,46.586932,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278844,46.586963,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278809,46.586994,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278773,46.587025,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278737,46.587053,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278688,46.587073,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278642,46.587094,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278601,46.587114,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278563,46.587135,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278523,46.587159,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278484,46.587182,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278449,46.587205,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278407,46.587229,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278357,46.587251,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278308,46.587271,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278261,46.587297,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278221,46.587316,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278173,46.58733,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
