longitude,latitude,annotation
-17.74712,25.09568,outdoor
-17.74713,25.09568,outdoor
-17.74713,25.09567,outdoor
-17.74713,25.09567,outdoor
-17.74713,25.09567,outdoor
-17.74712,25.09567,outdoor
-17.74712,25.09567,outdoor
-17.74713,25.09567,outdoor
-17.74713,25.09567,outdoor
-17.74712,25.09567,outdoor
-17.74712,25.09567,outdoor
-17.74712,25.09567,outdoor
-17.74712,25.09567,outdoor
-17.74711,25.09567,outdoor
-17.74712,25.09565,outdoor
-17.74712,25.09563,outdoor
-17.74712,25.09562,outdoor
-17.74712,25.0956,outdoor
-17.74712,25.09559,outdoor
-17.74712,25.09557,outdoor
-17.74712,25.09556,outdoor
-17.74712,25.09555,outdoor
-17.74712,25.09554,outdoor
-17.74712,25.09552,outdoor
-17.74713,25.09551,outdoor
-17.74713,25.0955,outdoor
-17.74713,25.09549,outdoor
-17.74713,25.09548,outdoor
-17.74713,25.09547,outdoor
-17.74713,25.09546,outdoor
-17.74713,25.09545,outdoor
-17.74713,25.09544,outdoor
-17.74714,25.09543,outdoor
-17.74714,25.09542,outdoor
-17.74714,25.09541,outdoor
-17.74714,25.0954,outdoor
-17.74714,25.09538,outdoor
-17.74714,25.09537,outdoor
-17.74714,25.09536,outdoor
-17.74715,25.09535,outdoor
-17.74715,25.09533,outdoor
-17.74715,25.09532,outdoor
-17.74716,25.09531,outdoor
-17.74716,25.09531,outdoor
-17.74716,25.0953,outdoor
-17.74716,25.09529,outdoor
-17.74716,25.09528,outdoor
-17.74716,25.09528,outdoor
-17.74716,25.09528,outdoor
-17.74716,25.09528,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.74716,25.09527,outdoor
-17.75112,25.09368,outdoor
-17.75111,25.09368,outdoor
-17.75112,25.09368,outdoor
-17.75112,25.09368,outdoor
-17.75112,25.09369,outdoor
-17.75112,25.09369,outdoor
-17.75112,25.09369,outdoor
-17.75113,25.0937,outdoor
-17.75113,25.09369,outdoor
-17.75113,25.0937,outdoor
-17.75113,25.09369,outdoor
-17.75113,25.09369,outdoor
-17.75113,25.09369,outdoor
-17.75113,25.09369,outdoor
-17.75113,25.09369,outdoor
-17.75113,25.09369,outdoor
-17.74661,25.10939,outdoor
-17.74661,25.10939,outdoor
-17.7466,25.10939,outdoor
-17.7466,25.10939,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74659,25.1094,outdoor
-17.74648,25.10938,outdoor
-17.74648,25.10938,outdoor
-17.74647,25.10938,outdoor
-17.74647,25.10937,outdoor
-17.74646,25.10937,outdoor
-17.74645,25.10937,outdoor
-17.74644,25.10936,outdoor
-17.74644,25.10935,outdoor
-17.74643,25.10935,outdoor
-17.74642,25.10934,outdoor
-17.74641,25.10934,outdoor
-17.74641,25.10933,outdoor
-17.7464,25.10933,outdoor
-17.74639,25.10933,outdoor
-17.7464,25.10933,outdoor
-17.74641,25.10933,outdoor
-17.7464,25.10932,outdoor
-17.7464,25.10932,outdoor
-17.7464,25.10931,outdoor
-17.74639,25.10931,outdoor
-17.74637,25.10933,outdoor
-17.74637,25.10932,outdoor
-17.74635,25.10933,outdoor
-17.74633,25.10934,outdoor
-17.74632,25.10935,outdoor
-17.7463,25.10936,outdoor
-17.74629,25.10937,outdoor
-17.74628,25.10937,outdoor
-17.74627,25.10938,outdoor
-17.74626,25.10939,outdoor
-17.74626,25.10939,outdoor
-17.74625,25.1094,outdoor
-17.74623,25.10941,outdoor
-17.74623,25.10941,outdoor
-17.74622,25.10941,outdoor
-17.74622,25.10942,outdoor
-17.74618,25.10945,outdoor
-17.74618,25.10944,outdoor
-17.74617,25.10944,outdoor
-17.74616,25.10944,outdoor
-17.74615,25.10943,outdoor
-17.74611,25.1095,outdoor
-17.74607,25.10954,outdoor
-17.74603,25.10959,outdoor
-17.746,25.10962,outdoor
-17.74597,25.10965,outdoor
-17.74594,25.10968,outdoor
-17.74591,25.10972,outdoor
-17.74587,25.10975,outdoor
-17.74584,25.10979,outdoor
-17.7458,25.10984,outdoor
-17.74576,25.10989,outdoor
-17.74572,25.10994,outdoor
-17.74567,25.11,outdoor
-17.74556,25.11013,outdoor
-17.74551,25.11021,outdoor
-17.74545,25.11028,outdoor
-17.7454,25.11035,outdoor
-17.74535,25.11042,outdoor
-17.74529,25.11049,outdoor
-17.74524,25.11056,outdoor
-17.74518,25.11063,outdoor
-17.74512,25.11071,outdoor
-17.74506,25.11079,outdoor
-17.745,25.11087,outdoor
-17.74494,25.11095,outdoor
-17.74488,25.11103,outdoor
-17.74481,25.11112,outdoor
-17.74475,25.1112,outdoor
-17.74468,25.11129,outdoor
-17.74462,25.11138,outdoor
-17.74455,25.11146,outdoor
-17.74449,25.11155,outdoor
-17.74442,25.11164,outdoor
-17.74436,25.11173,outdoor
-17.7443,25.11182,outdoor
-17.74424,25.11192,outdoor
-17.74418,25.11202,outdoor
-17.74411,25.11212,outdoor
-17.74405,25.11221,outdoor
-17.74399,25.11231,outdoor
-17.74393,25.11241,outdoor
-17.74386,25.1125,outdoor
-17.7438,25.1126,outdoor
-17.74374,25.1127,outdoor
-17.74368,25.1128,outdoor
-17.74363,25.11289,outdoor
-17.74357,25.11299,outdoor
-17.74352,25.11309,outdoor
-17.74346,25.11319,outdoor
-17.7434,25.1133,outdoor
-17.74335,25.11341,outdoor
-17.7433,25.11352,outdoor
-17.74325,25.11363,outdoor
-17.7432,25.11375,outdoor
-17.74315,25.11386,outdoor
-17.7431,25.11397,outdoor
-17.74306,25.11408,outdoor
-17.74302,25.11419,outdoor
-17.74298,25.11431,outdoor
-17.74294,25.11442,outdoor
-17.7429,25.11454,outdoor
-17.74286,25.11465,outdoor
-17.74282,25.11477,outdoor
-17.74278,25.11489,outdoor
-17.74275,25.11501,outdoor
-17.74272,25.11512,outdoor
-17.74269,25.11523,outdoor
-17.74266,25.11535,outdoor
-17.74263,25.11547,outdoor
-17.74261,25.11559,outdoor
-17.7426,25.11571,outdoor
-17.74258,25.11583,outdoor
-17.74258,25.11595,outdoor
-17.74257,25.11607,outdoor
-17.74257,25.11619,outdoor
-17.74257,25.11631,outdoor
-17.74258,25.11642,outdoor
-17.74258,25.11654,outdoor
-17.74259,25.11666,outdoor
-17.7426,25.11678,outdoor
-17.74262,25.1169,outdoor
-17.74263,25.11702,outdoor
-17.74264,25.11714,outdoor
-17.74266,25.11727,outdoor
-17.74268,25.11739,outdoor
-17.7427,25.1175,outdoor
-17.74272,25.11762,outdoor
-17.74273,25.11774,outdoor
-17.74275,25.11785,outdoor
-17.74278,25.11797,outdoor
-17.7428,25.11809,outdoor
-17.74283,25.1182,outdoor
-17.74285,25.11832,outdoor
-17.74288,25.11843,outdoor
-17.74291,25.11855,outdoor
-17.74294,25.11866,outdoor
-17.74297,25.11877,outdoor
-17.743,25.11889,outdoor
-17.74304,25.119,outdoor
-17.74308,25.11911,outdoor
-17.74312,25.11923,outdoor
-17.74317,25.11934,outdoor
-17.74322,25.11944,outdoor
-17.74327,25.11955,outdoor
-17.74333,25.11966,outdoor
-17.74339,25.11976,outdoor
-17.74346,25.11986,outdoor
-17.74353,25.11996,outdoor
-17.74361,25.12005,outdoor
-17.74369,25.12013,outdoor
-17.74378,25.12021,outdoor
-17.74387,25.12029,outdoor
-17.74396,25.12037,outdoor
-17.74406,25.12045,outdoor
-17.74415,25.12052,outdoor
-17.74424,25.12059,outdoor
-17.74433,25.12066,outdoor
-17.74442,25.12073,outdoor
-17.74452,25.12081,outdoor
-17.74461,25.12089,outdoor
-17.7447,25.12096,outdoor
-17.74479,25.12103,outdoor
-17.74487,25.12111,outdoor
-17.74495,25.12118,outdoor
-17.74504,25.12126,outdoor
-17.74512,25.12134,outdoor
-17.7452,25.12142,outdoor
-17.74528,25.1215,outdoor
-17.74536,25.12158,outdoor
-17.74544,25.12167,outdoor
-17.74552,25.12176,outdoor
-17.74559,25.12185,outdoor
-17.74566,25.12195,outdoor
-17.74573,25.12204,outdoor
-17.74579,25.12215,outdoor
-17.74585,25.12225,outdoor
-17.74589,25.12236,outdoor
-17.74593,25.12247,outdoor
-17.74596,25.12258,outdoor
-17.74597,25.12269,outdoor
-17.74598,25.12281,outdoor
-17.74597,25.12293,outdoor
-17.74595,25.12304,outdoor
-17.74591,25.12315,outdoor
-17.74586,25.12325,outdoor
-17.74581,25.12334,outdoor
-17.74573,25.12342,outdoor
-17.74564,25.12348,outdoor
-17.74555,25.12353,outdoor
-17.74545,25.12356,outdoor
-17.74535,25.12358,outdoor
-17.74525,25.12358,outdoor
-17.74514,25.12358,outdoor
-17.74493,25.12359,outdoor
-17.7449,25.12359,outdoor
-17.74489,25.12359,outdoor
-17.74489,25.12359,outdoor
-17.74489,25.12359,outdoor
-17.7449,25.12359,outdoor
-17.7449,25.12359,outdoor
-17.7449,25.12359,outdoor
-17.74491,25.12359,outdoor
-17.74491,25.12359,outdoor
-17.74491,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74492,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.74493,25.12359,outdoor
-17.7757,25.15158,outdoor
-17.77568,25.1517,outdoor
-17.77566,25.15182,outdoor
-17.77564,25.15194,outdoor
-17.77564,25.15207,outdoor
-17.77564,25.15219,outdoor
-17.77565,25.15231,outdoor
-17.77567,25.15243,outdoor
-17.7757,25.15255,outdoor
-17.77573,25.15266,outdoor
-17.77577,25.15277,outdoor
-17.77583,25.15288,outdoor
-17.77589,25.15298,outdoor
-17.77596,25.15307,outdoor
-17.77604,25.15315,outdoor
-17.77612,25.15322,outdoor
-17.77621,25.15329,outdoor
-17.7763,25.15336,outdoor
-17.7764,25.15342,outdoor
-17.77649,25.15348,outdoor
-17.77659,25.15353,outdoor
-17.7767,25.15358,outdoor
-17.7768,25.15361,outdoor
-17.77691,25.15365,outdoor
-17.77702,25.15367,outdoor
-17.77713,25.1537,outdoor
-17.77725,25.15371,outdoor
-17.77736,25.15373,outdoor
-17.77748,25.15375,outdoor
-17.77759,25.15377,outdoor
-17.77771,25.15379,outdoor
-17.77783,25.15382,outdoor
-17.77794,25.15386,outdoor
-17.77805,25.1539,outdoor
-17.77816,25.15395,outdoor
-17.77826,25.154,outdoor
-17.77836,25.15406,outdoor
-17.77846,25.15413,outdoor
-17.77855,25.1542,outdoor
-17.77864,25.15428,outdoor
-17.77873,25.15436,outdoor
-17.7788,25.15445,outdoor
-17.77888,25.15454,outdoor
-17.77894,25.15464,outdoor
-17.77901,25.15474,outdoor
-17.77906,25.15484,outdoor
-17.77911,25.15495,outdoor
-17.77916,25.15506,outdoor
-17.77921,25.15517,outdoor
-17.77925,25.15529,outdoor
-17.77929,25.1554,outdoor
-17.77934,25.15551,outdoor
-17.77938,25.15563,outdoor
-17.77942,25.15574,outdoor
-17.77947,25.15585,outdoor
-17.77951,25.15596,outdoor
-17.77956,25.15607,outdoor
-17.77961,25.15618,outdoor
-17.77965,25.15629,outdoor
-17.77969,25.15639,outdoor
-17.77973,25.1565,outdoor
-17.77976,25.1566,outdoor
-17.77979,25.15671,outdoor
-17.77981,25.15682,outdoor
-17.77983,25.15693,outdoor
-17.77983,25.15704,outdoor
-17.77984,25.15715,outdoor
-17.77983,25.15726,outdoor
-17.77982,25.15737,outdoor
-17.7798,25.15748,outdoor
-17.77978,25.15758,outdoor
-17.77976,25.15769,outdoor
-17.77973,25.1578,outdoor
-17.7797,25.1579,outdoor
-17.77967,25.15801,outdoor
-17.77964,25.15812,outdoor
-17.77961,25.15822,outdoor
-17.77957,25.15833,outdoor
-17.77954,25.15843,outdoor
-17.7795,25.15853,outdoor
-17.77946,25.15864,outdoor
-17.77942,25.15874,outdoor
-17.77938,25.15884,outdoor
-17.77934,25.15895,outdoor
-17.7793,25.15905,outdoor
-17.77925,25.15915,outdoor
-17.77921,25.15926,outdoor
-17.77916,25.15936,outdoor
-17.77911,25.15946,outdoor
-17.77906,25.15956,outdoor
-17.77901,25.15966,outdoor
-17.77896,25.15976,outdoor
-17.7789,25.15986,outdoor
-17.77884,25.15995,outdoor
-17.77878,25.16005,outdoor
-17.77872,25.16014,outdoor
-17.77866,25.16023,outdoor
