longitude,latitude,annotation
-17.83043,24.96022,outdoor
-17.83042,24.96015,outdoor
-17.83041,24.96011,outdoor
-17.8304,24.96007,outdoor
-17.8304,24.96002,outdoor
-17.83039,24.95998,outdoor
-17.83038,24.95993,outdoor
-17.83036,24.95988,outdoor
-17.83035,24.95983,outdoor
-17.83033,24.95978,outdoor
-17.83032,24.95974,outdoor
-17.8303,24.95969,outdoor
-17.83028,24.95964,outdoor
-17.83026,24.95959,outdoor
-17.83023,24.95954,outdoor
-17.83021,24.9595,outdoor
-17.83019,24.95945,outdoor
-17.83016,24.9594,outdoor
-17.83014,24.95935,outdoor
-17.83012,24.95931,outdoor
-17.8301,24.95926,outdoor
-17.83007,24.95922,outdoor
-17.83005,24.95918,outdoor
-17.83002,24.95913,outdoor
-17.82999,24.95908,outdoor
-17.82996,24.95903,outdoor
-17.82993,24.95898,outdoor
-17.8299,24.95893,outdoor
-17.82987,24.95888,outdoor
-17.82984,24.95883,outdoor
-17.82981,24.95879,outdoor
-17.82977,24.95874,outdoor
-17.82974,24.95869,outdoor
-17.82971,24.95865,outdoor
-17.82968,24.95861,outdoor
-17.82964,24.95856,outdoor
-17.82961,24.95852,outdoor
-17.82958,24.95848,outdoor
-17.82954,24.95844,outdoor
-17.82951,24.95839,outdoor
-17.82948,24.95834,outdoor
-17.82945,24.9583,outdoor
-17.82942,24.95825,outdoor
-17.82938,24.95821,outdoor
-17.82935,24.95816,outdoor
-17.82932,24.95812,outdoor
-17.82928,24.95808,outdoor
-17.82925,24.95803,outdoor
-17.82922,24.95799,outdoor
-17.82918,24.95794,outdoor
-17.82915,24.9579,outdoor
-17.82912,24.95786,outdoor
-17.82909,24.95782,outdoor
-17.82906,24.95778,outdoor
-17.82902,24.95774,outdoor
-17.82898,24.9577,outdoor
-17.82894,24.95765,outdoor
-17.8289,24.9576,outdoor
-17.82887,24.95755,outdoor
-17.82884,24.9575,outdoor
-17.82881,24.95746,outdoor
-17.82878,24.95741,outdoor
