longitude,latitude,annotation
-84.278715,46.587187,outdoor
-84.278681,46.587205,outdoor
-84.278616,46.587234,outdoor
-84.27858,46.58725,outdoor
-84.278524,46.587274,outdoor
-84.278497,46.587282,outdoor
-84.278447,46.587309,outdoor
-84.278407,46.587339,outdoor
-84.27834,46.587345,outdoor
-84.278271,46.587364,outdoor
-84.278219,46.587377,outdoor
-84.278179,46.587397,outdoor
-84.278148,46.58742,outdoor
-84.278096,46.587452,outdoor
-84.278053,46.587474,outdoor
-84.278012,46.587501,outdoor
-84.277983,46.587523,outdoor
-84.277957,46.587557,outdoor
-84.277925,46.587574,outdoor
-84.277897,46.587613,outdoor
-84.277868,46.587638,outdoor
-84.277823,46.587663,outdoor
-84.277772,46.587697,outdoor
-84.277731,46.587738,outdoor
-84.277698,46.587775,outdoor
-84.277661,46.587805,outdoor
-84.277621,46.587837,outdoor
-84.277597,46.58786,outdoor
-84.277569,46.587905,outdoor
-84.277551,46.587924,outdoor
-84.277516,46.587971,outdoor
-84.277465,46.588031,outdoor
-84.277468,46.588062,outdoor
-84.277462,46.588074,outdoor
-84.277442,46.588101,outdoor
-84.277444,46.588142,outdoor
-84.277436,46.588197,outdoor
-84.27743,46.588224,outdoor
-84.277421,46.588255,outdoor
-84.277409,46.588288,outdoor
-84.277402,46.588323,outdoor
-84.277403,46.588356,outdoor
-84.277395,46.588383,outdoor
-84.277398,46.588422,outdoor
-84.277408,46.58846,outdoor
-84.277407,46.588488,outdoor
-84.277411,46.588519,outdoor
-84.277426,46.588556,outdoor
-84.277421,46.588601,outdoor
-84.277418,46.588621,outdoor
-84.277414,46.588655,outdoor
-84.27743,46.588689,outdoor
-84.277432,46.58873,outdoor
-84.277431,46.588758,outdoor
-84.277427,46.588768,outdoor
-84.277419,46.588776,outdoor
-84.277391,46.588794,outdoor
-84.277398,46.588816,outdoor
-84.277398,46.588826,outdoor
-84.277398,46.588836,outdoor
-84.277383,46.588845,outdoor
-84.277372,46.588855,outdoor
-84.277358,46.588869,outdoor
-84.277346,46.588883,outdoor
-84.277339,46.588898,outdoor
-84.277336,46.588905,outdoor
-84.277343,46.588909,outdoor
-84.277346,46.588911,outdoor
-84.277351,46.588949,outdoor
-84.277351,46.588974,outdoor
-84.277351,46.588998,outdoor
-84.27737,46.589031,outdoor
-84.277379,46.589043,outdoor
-84.277401,46.58908,outdoor
-84.277409,46.589125,outdoor
-84.277402,46.589164,outdoor
