X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.280238,46.586369,0,0,0,288.4,2024/09/14 17:55:02+00,,,,,,,,,,,,,,,,,,,,,
-84.28021,46.586394,0,0,1,288.4,2024/09/14 17:55:03+00,,,,,,,,,,,,,,,,,,,,,
-84.280192,46.586393,0,0,2,288.4,2024/09/14 17:55:04+00,,,,,,,,,,,,,,,,,,,,,
-84.280172,46.586388,0,0,3,288.4,2024/09/14 17:55:05+00,,,,,,,,,,,,,,,,,,,,,
-84.280123,46.586372,0,0,4,288.4,2024/09/14 17:55:06+00,,,,,,,,,,,,,,,,,,,,,
-84.28011,46.586357,0,0,5,288.4,2024/09/14 17:55:07+00,,,,,,,,,,,,,,,,,,,,,
-84.280095,46.586345,0,0,6,288.4,2024/09/14 17:55:09+00,,,,,,,,,,,,,,,,,,,,,
-84.280089,46.586346,0,0,7,288.4,2024/09/14 17:55:10+00,,,,,,,,,,,,,,,,,,,,,
-84.280084,46.586348,0,0,8,288.4,2024/09/14 17:55:11+00,,,,,,,,,,,,,,,,,,,,,
-84.28008,46.586348,0,0,9,288.4,2024/09/14 17:55:12+00,,,,,,,,,,,,,,,,,,,,,
-84.280078,46.586349,0,0,10,288.4,2024/09/14 17:55:13+00,,,,,,,,,,,,,,,,,,,,,
-84.280077,46.58635,0,0,11,288.4,2024/09/14 17:55:14+00,,,,,,,,,,,,,,,,,,,,,
-84.280077,46.586351,0,0,12,288.4,2024/09/14 17:55:15+00,,,,,,,,,,,,,,,,,,,,,
-84.28007,46.586352,0,0,13,288.4,2024/09/14 17:55:16+00,,,,,,,,,,,,,,,,,,,,,
-84.280068,46.586357,0,0,14,288.4,2024/09/14 17:55:18+00,,,,,,,,,,,,,,,,,,,,,
-84.280054,46.586362,0,0,15,288.4,2024/09/14 17:55:19+00,,,,,,,,,,,,,,,,,,,,,
-84.28004,46.586367,0,0,16,288.4,2024/09/14 17:55:20+00,,,,,,,,,,,,,,,,,,,,,
-84.280026,46.586372,0,0,17,288.4,2024/09/14 17:55:21+00,,,,,,,,,,,,,,,,,,,,,
-84.280012,46.586377,0,0,18,288.4,2024/09/14 17:55:22+00,,,,,,,,,,,,,,,,,,,,,
-84.279998,46.586382,0,0,19,288.4,2024/09/14 17:55:23+00,,,,,,,,,,,,,,,,,,,,,
-84.279984,46.586387,0,0,20,288.4,2024/09/14 17:55:24+00,,,,,,,,,,,,,,,,,,,,,
-84.279969,46.586392,0,0,21,288.4,2024/09/14 17:55:26+00,,,,,,,,,,,,,,,,,,,,,
-84.279955,46.586397,0,0,22,288.4,2024/09/14 17:57:42+00,,,,,,,,,,,,,,,,,,,,,
-84.279941,46.586402,0,0,23,288.4,2024/09/14 17:57:43+00,,,,,,,,,,,,,,,,,,,,,
-84.279909,46.586422,0,0,24,288.4,2024/09/14 17:57:44+00,,,,,,,,,,,,,,,,,,,,,
-84.279872,46.586441,0,0,25,288.4,2024/09/14 17:57:45+00,,,,,,,,,,,,,,,,,,,,,
-84.279843,46.586459,0,0,26,288.4,2024/09/14 17:57:46+00,,,,,,,,,,,,,,,,,,,,,
-84.279812,46.58648,0,0,27,288.4,2024/09/14 17:57:47+00,,,,,,,,,,,,,,,,,,,,,
-84.279778,46.586497,0,0,28,288.4,2024/09/14 17:57:48+00,,,,,,,,,,,,,,,,,,,,,
-84.279716,46.586523,0,0,29,288.4,2024/09/14 17:57:49+00,,,,,,,,,,,,,,,,,,,,,
-84.279665,46.586539,0,0,30,288.4,2024/09/14 17:57:51+00,,,,,,,,,,,,,,,,,,,,,
-84.279647,46.586543,0,0,31,288.4,2024/09/14 17:57:52+00,,,,,,,,,,,,,,,,,,,,,
-84.279607,46.586552,0,0,32,288.4,2024/09/14 17:57:53+00,,,,,,,,,,,,,,,,,,,,,
-84.279564,46.58655,0,0,33,288.5,2024/09/14 17:57:54+00,,,,,,,,,,,,,,,,,,,,,
-84.279471,46.586558,0,0,34,288.5,2024/09/14 17:57:55+00,,,,,,,,,,,,,,,,,,,,,
-84.279427,46.586567,0,0,35,288.5,2024/09/14 17:57:56+00,,,,,,,,,,,,,,,,,,,,,
-84.279367,46.586594,0,0,36,288.5,2024/09/14 17:57:58+00,,,,,,,,,,,,,,,,,,,,,
-84.279348,46.586605,0,0,37,288.5,2024/09/14 17:57:59+00,,,,,,,,,,,,,,,,,,,,,
-84.279328,46.586616,0,0,38,288.5,2024/09/14 17:58:00+00,,,,,,,,,,,,,,,,,,,,,
-84.279305,46.586642,0,0,39,288.5,2024/09/14 17:58:01+00,,,,,,,,,,,,,,,,,,,,,
-84.279301,46.58665,0,0,40,288.5,2024/09/14 17:58:02+00,,,,,,,,,,,,,,,,,,,,,
-84.279266,46.586678,0,0,41,288.5,2024/09/14 17:58:03+00,,,,,,,,,,,,,,,,,,,,,
-84.279251,46.586689,0,0,42,288.5,2024/09/14 17:58:04+00,,,,,,,,,,,,,,,,,,,,,
-84.279227,46.586715,0,0,43,288.4,2024/09/14 17:58:05+00,,,,,,,,,,,,,,,,,,,,,
