X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.586077,46.528943,0,0,0,186.3,2024/11/09 16:56:25+00,,,,,,,,,,,,,,,,,,,,,
-84.586076,46.528943,0,0,1,186.3,2024/11/09 16:56:26+00,,,,,,,,,,,,,,,,,,,,,
-84.586076,46.528942,0,0,2,186.3,2024/11/09 16:56:27+00,,,,,,,,,,,,,,,,,,,,,
-84.586076,46.528942,0,0,3,186.3,2024/11/09 16:56:28+00,,,,,,,,,,,,,,,,,,,,,
-84.586075,46.528942,0,0,4,186.3,2024/11/09 16:56:29+00,,,,,,,,,,,,,,,,,,,,,
-84.586075,46.528943,0,0,5,186.3,2024/11/09 16:56:30+00,,,,,,,,,,,,,,,,,,,,,
-84.586075,46.528942,0,0,6,186.3,2024/11/09 16:56:31+00,,,,,,,,,,,,,,,,,,,,,
-84.586074,46.528942,0,0,7,186.3,2024/11/09 16:56:32+00,,,,,,,,,,,,,,,,,,,,,
-84.586074,46.528943,0,0,8,186.3,2024/11/09 16:56:33+00,,,,,,,,,,,,,,,,,,,,,
-84.586074,46.528943,0,0,9,186.3,2024/11/09 16:56:34+00,,,,,,,,,,,,,,,,,,,,,
-84.586074,46.528943,0,0,10,186.3,2024/11/09 16:56:35+00,,,,,,,,,,,,,,,,,,,,,
-84.586123,46.52899,0,0,11,186.2,2024/11/09 16:57:10+00,,,,,,,,,,,,,,,,,,,,,
-84.586095,46.529011,0,0,12,186.1,2024/11/09 16:57:11+00,,,,,,,,,,,,,,,,,,,,,
-84.586077,46.529016,0,0,13,186.1,2024/11/09 16:57:13+00,,,,,,,,,,,,,,,,,,,,,
-84.586049,46.529015,0,0,14,186.1,2024/11/09 16:57:14+00,,,,,,,,,,,,,,,,,,,,,
-84.586039,46.529012,0,0,15,186.1,2024/11/09 16:57:15+00,,,,,,,,,,,,,,,,,,,,,
-84.586031,46.529008,0,0,16,186.1,2024/11/09 16:57:17+00,,,,,,,,,,,,,,,,,,,,,
-84.586027,46.529006,0,0,17,186.1,2024/11/09 16:57:18+00,,,,,,,,,,,,,,,,,,,,,
-84.586022,46.529003,0,0,18,186.1,2024/11/09 16:57:19+00,,,,,,,,,,,,,,,,,,,,,
-84.586018,46.529003,0,0,19,186.1,2024/11/09 16:57:20+00,,,,,,,,,,,,,,,,,,,,,
-84.586007,46.529002,0,0,20,186.1,2024/11/09 16:57:22+00,,,,,,,,,,,,,,,,,,,,,
-84.585985,46.528997,0,0,21,186,2024/11/09 16:57:23+00,,,,,,,,,,,,,,,,,,,,,
-84.585959,46.528992,0,0,22,186,2024/11/09 16:57:24+00,,,,,,,,,,,,,,,,,,,,,
-84.585912,46.529,0,0,23,186,2024/11/09 16:57:25+00,,,,,,,,,,,,,,,,,,,,,
-84.585873,46.529004,0,0,24,185.9,2024/11/09 16:57:26+00,,,,,,,,,,,,,,,,,,,,,
-84.585824,46.528997,0,0,25,185.9,2024/11/09 16:57:27+00,,,,,,,,,,,,,,,,,,,,,
-84.585807,46.528992,0,0,26,185.9,2024/11/09 16:57:28+00,,,,,,,,,,,,,,,,,,,,,
-84.585775,46.528968,0,0,27,185.8,2024/11/09 16:57:29+00,,,,,,,,,,,,,,,,,,,,,
-84.585738,46.528933,0,0,28,185.8,2024/11/09 16:57:30+00,,,,,,,,,,,,,,,,,,,,,
-84.585714,46.528904,0,0,29,185.7,2024/11/09 16:57:31+00,,,,,,,,,,,,,,,,,,,,,
-84.585686,46.528879,0,0,30,185.7,2024/11/09 16:57:32+00,,,,,,,,,,,,,,,,,,,,,
-84.585662,46.528857,0,0,31,185.7,2024/11/09 16:57:33+00,,,,,,,,,,,,,,,,,,,,,
-84.58564,46.528835,0,0,32,185.7,2024/11/09 16:57:34+00,,,,,,,,,,,,,,,,,,,,,
-84.585609,46.528811,0,0,33,185.6,2024/11/09 16:57:35+00,,,,,,,,,,,,,,,,,,,,,
-84.585543,46.528792,0,0,34,185.6,2024/11/09 16:57:36+00,,,,,,,,,,,,,,,,,,,,,
-84.58548,46.528781,0,0,35,185.6,2024/11/09 16:57:37+00,,,,,,,,,,,,,,,,,,,,,
-84.585385,46.52879,0,0,36,185.6,2024/11/09 16:57:38+00,,,,,,,,,,,,,,,,,,,,,
