longitude,latitude,annotation
-122.019807,45.632433,outdoor
-122.019767,45.632453,outdoor
-122.01971,45.632472,outdoor
-122.01971,45.632505,outdoor
-122.019739,45.632531,outdoor
-122.019781,45.632549,outdoor
-122.019815,45.63257,outdoor
-122.019844,45.632599,outdoor
-122.019893,45.632602,outdoor
-122.019933,45.632605,outdoor
-122.019977,45.632593,outdoor
-122.02002,45.632611,outdoor
-122.020061,45.632644,outdoor
-122.020095,45.632674,outdoor
-122.020116,45.632702,outdoor
-122.02014,45.632736,outdoor
-122.020152,45.632773,outdoor
-122.020153,45.6328,outdoor
-122.020158,45.632835,outdoor
-122.020156,45.632872,outdoor
-122.020147,45.632898,outdoor
-122.020124,45.632929,outdoor
-122.020088,45.632951,outdoor
-122.020074,45.632977,outdoor
-122.020039,45.632955,outdoor
-122.019983,45.632976,outdoor
-122.019943,45.633011,outdoor
-122.019918,45.633038,outdoor
-122.019893,45.63307,outdoor
-122.019878,45.633104,outdoor
-122.019865,45.633143,outdoor
-122.019837,45.633167,outdoor
-122.019806,45.633187,outdoor
-122.01977,45.633207,outdoor
-122.019758,45.633235,outdoor
-122.019762,45.633266,outdoor
-122.019728,45.633299,outdoor
-122.019699,45.63333,outdoor
-122.019663,45.633345,outdoor
-122.019613,45.633349,outdoor
-122.019621,45.633377,outdoor
-122.019585,45.633402,outdoor
-122.019547,45.633395,outdoor
-122.019532,45.633421,outdoor
-122.0195,45.633437,outdoor
-122.019457,45.633448,outdoor
-122.019471,45.633489,outdoor
-122.019432,45.633524,outdoor
-122.019376,45.63353,outdoor
-122.019338,45.633519,outdoor
-122.019281,45.633523,outdoor
-122.019225,45.633546,outdoor
-122.019178,45.63355,outdoor
-122.01913,45.633559,outdoor
-122.01911,45.633585,outdoor
-122.019078,45.633619,outdoor
-122.019041,45.633642,outdoor
-122.018999,45.633671,outdoor
-122.018956,45.633685,outdoor
-122.018923,45.633706,outdoor
-122.018893,45.633726,outdoor
-122.018862,45.633745,outdoor
-122.018824,45.633759,outdoor
-122.018783,45.633764,outdoor
-122.018744,45.633782,outdoor
-122.018708,45.633805,outdoor
-122.01867,45.633812,outdoor
-122.018629,45.633804,outdoor
-122.018578,45.633787,outdoor
-122.018522,45.633784,outdoor
-122.018471,45.633805,outdoor
-122.018452,45.63383,outdoor
-122.018422,45.633854,outdoor
-122.01837,45.633861,outdoor
-122.018318,45.63385,outdoor
-122.018268,45.633835,outdoor
-122.018237,45.633817,outdoor
-122.018202,45.633803,outdoor
-122.018238,45.633786,outdoor
-122.018212,45.63382,outdoor
-122.018176,45.633837,outdoor
-122.018149,45.633876,outdoor
-122.018101,45.633903,outdoor
-122.01807,45.633923,outdoor
-122.018033,45.633961,outdoor
-122.017994,45.63397,outdoor
-122.017948,45.633956,outdoor
-122.017907,45.633953,outdoor
-122.017866,45.633971,outdoor
-122.017835,45.63399,outdoor
-122.017807,45.634015,outdoor
-122.017777,45.634038,outdoor
-122.017747,45.634069,outdoor
-122.017736,45.634096,outdoor
-122.017684,45.634096,outdoor
-122.017645,45.63411,outdoor
-122.017627,45.634134,outdoor
-122.01759,45.634158,outdoor
